gene_symbol,shared_core_membership,exact_2NAP_human_support,exact_2NAP_experimental_support,number_of_sources,multi_source_ge2,network_central_top10pct_any,m3_priority_hub_candidate,n_prespecified_nonliver_tissues_expressed,n_tissues_fdr_significant,n_tissues_meaningful_abs_effect_ge_0_25,female_biased_tissues_fdr,male_biased_tissues_fdr,m5_candidate,candidate_tier,selection_rule
SOX17,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
SOX2,True,False,False,1,False,False,False,7,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
SPHK1,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
SYP,True,False,False,1,False,False,False,8,1,1,Adrenal Gland,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
TAAR1,True,False,False,1,False,False,False,0,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
TGM2,True,False,False,1,False,False,False,8,1,1,,Artery - Aorta,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
THRB,True,True,False,2,True,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
TIMP1,True,False,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
TIMP3,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
TLR9,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
TNC,True,False,False,1,False,False,False,8,0,2,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
TNF,True,False,False,2,True,True,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
TNFRSF10B,True,False,False,1,False,False,False,8,1,1,,Artery - Aorta,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
TNNI3,True,False,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
TRHR,True,True,False,1,False,False,False,0,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
TSG101,True,False,False,1,False,False,False,8,1,0,,Thyroid,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
TSHR,True,True,False,1,False,False,False,2,1,0,,Thyroid,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
TTR,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
VCP,True,False,False,1,False,False,False,8,1,0,,Thyroid,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
VDR,True,True,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
WRN,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
