gene_symbol,protein_name,database_source,evidence_type,direct_binding_or_activity,expression_response,species,cell_or_tissue,dose,exposure_time,direction,PMID/DOI/database_id,evidence_note,evidence_grade,evidence_grades_seen,evidence_partition,independent_source_count,independent_source_families,evidence_item_count,has_prediction_evidence,independent_support_ge_2,canonical_symbol_rule
DUSP1,dual specificity phosphatase 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),No direct chemical binding asserted; downstream molecular response,upregulated,Homo sapiens (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:32998617,"CTD raw direct-DINP filter; raw_gene_symbol=DUSP1; species=Homo sapiens (n=1); actions=increases^expression (n=1); increases^reaction (n=1); representative_interactions=diisononyl phthalate promotes the reaction [Dexamethasone results in increased expression of DUSP1 mRNA]. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. Audit flag: cited publication includes multiple chemicals or a co-treatment context; do not interpret as a DINP-only mechanistic experiment without reading the primary paper.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
EBP,EBP cholestenol delta-isomerase,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Rattus norvegicus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:33983380,"CTD raw direct-DINP filter; raw_gene_symbol=EBP; species=Rattus norvegicus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of EBP mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
ECH1,enoyl-CoA hydratase 1,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=1.491,Rattus norvegicus,Primary rat hepatocytes,100 mM DINP,24 h,up,GSE40342; PMID:25475144; GPL1355; probe:1386885_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=2.25e-05; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
ECI1,enoyl-CoA delta isomerase 1,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=1.255,Rattus norvegicus,Primary rat hepatocytes,25 mM DINP,24 h,up,GSE40342; PMID:25475144; GPL1355; probe:1367659_s_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=6.36e-05; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
ECI2,enoyl-CoA delta isomerase 2,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=1.036,Rattus norvegicus,Primary rat hepatocytes,25 mM DINP,24 h,up,GSE40342; PMID:25475144; GPL1355; probe:1388908_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=8.82e-05; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
EHHADH,enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=2.657,Rattus norvegicus,Primary rat hepatocytes,100 mM DINP,48 h,up,GSE40342; PMID:25475144; GPL1355; probe:1368283_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=9.27e-05; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
ELOVL2,ELOVL fatty acid elongase 2,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,expression affected,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,affected,CTD:C012125; PMID:31577137,"CTD raw direct-DINP filter; raw_gene_symbol=ELOVL2; species=Mus musculus (n=1); actions=affects^expression (n=1); representative_interactions=diisononyl phthalate affects the expression of ELOVL2 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
ELOVL6,ELOVL fatty acid elongase 6,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,expression affected,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,affected,CTD:C012125; PMID:31577137,"CTD raw direct-DINP filter; raw_gene_symbol=ELOVL6; species=Mus musculus (n=1); actions=affects^expression (n=1); representative_interactions=diisononyl phthalate affects the expression of ELOVL6 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
ENO3,enolase 3,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=ENO3; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of ENO3 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
EPAS1,endothelial PAS domain protein 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:37482143,"CTD raw direct-DINP filter; raw_gene_symbol=EPAS1; species=Mus musculus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of EPAS1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
ESR1,estrogen receptor 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),No direct chemical binding asserted; downstream molecular response | CTD curated activity modulation; not necessarily direct binding,,Homo sapiens (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,mixed,CTD:C012125; PMID:28571686,"CTD raw direct-DINP filter; raw_gene_symbol=ESR1; species=Homo sapiens (n=1); actions=decreases^reaction (n=1); increases^activity (n=1); representative_interactions=diisononyl phthalate inhibits the reaction [Estradiol results in increased activity of ESR1 protein]. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. Audit flag: cited publication includes multiple chemicals or a co-treatment context; do not interpret as a DINP-only mechanistic experiment without reading the primary paper.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
FAAH,fatty acid amide hydrolase,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),CTD curated activity modulation; not necessarily direct binding,downregulated,Sparus aurata (n=2),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,mixed,CTD:C012125; PMID:30600365,"CTD raw direct-DINP filter; raw_gene_symbol=FAAH; species=Sparus aurata (n=2); actions=decreases^expression (n=1); increases^activity (n=1); representative_interactions=diisononyl phthalate results in decreased expression of FAAH mRNA || diisononyl phthalate results in increased activity of FAAH protein. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
FABP1,fatty acid binding protein 1,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=1.975,Rattus norvegicus,Primary rat hepatocytes,100 mM DINP,48 h,up,GSE40342; PMID:25475144; GPL1355; probe:1369111_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=5.13e-05; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
FABP3,fatty acid binding protein 3,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=FABP3; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of FABP3 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
FADS2,fatty acid desaturase 2,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,expression affected,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,affected,CTD:C012125; PMID:31577137,"CTD raw direct-DINP filter; raw_gene_symbol=FADS2; species=Mus musculus (n=1); actions=affects^expression (n=1); representative_interactions=diisononyl phthalate affects the expression of FADS2 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
FAS,Fas cell surface death receptor,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,expression affected,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,affected,CTD:C012125; PMID:31577137,"CTD raw direct-DINP filter; raw_gene_symbol=FAS; species=Mus musculus (n=1); actions=affects^expression (n=1); representative_interactions=diisononyl phthalate affects the expression of FAS mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
FBXO40,F-box protein 40,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=FBXO40; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of FBXO40 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
FDPS,farnesyl diphosphate synthase,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Rattus norvegicus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:33983380,"CTD raw direct-DINP filter; raw_gene_symbol=FDPS; species=Rattus norvegicus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of FDPS mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
FFAR2,free fatty acid receptor 2,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31546122,"CTD raw direct-DINP filter; raw_gene_symbol=FFAR2; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of FFAR2 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
FHL1,four and a half LIM domains 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=FHL1; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of FHL1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
FLNC,filamin C,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=FLNC; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of FLNC mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
FMO3,flavin containing dimethylaniline monoxygenase 3,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=-1.586,Rattus norvegicus,Primary rat hepatocytes,25 mM DINP,24 h,down,GSE40342; PMID:25475144; GPL1355; probe:1368304_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=0.000146; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
FNDC5,fibronectin type III domain containing 5,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=FNDC5; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of FNDC5 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
FSHB,follicle stimulating hormone subunit beta,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:41712757,"CTD raw direct-DINP filter; raw_gene_symbol=FSHB; species=Mus musculus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of FSHB mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
G0S2,G0/G1 switch 2,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=1.356,Rattus norvegicus,Primary rat hepatocytes,25 mM DINP,24 h,up,GSE40342; PMID:25475144; GPL1355; probe:1388395_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=0.000295; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
G6PC1,glucose-6-phosphatase catalytic subunit 1,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=1.443,Rattus norvegicus,Primary rat hepatocytes,25 mM DINP,48 h,up,GSE40342; PMID:25475144; GPL1355; probe:1370725_a_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=0.00122; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
G6PD,glucose-6-phosphate dehydrogenase,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Sparus aurata (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31230093,"CTD raw direct-DINP filter; raw_gene_symbol=G6PD; species=Sparus aurata (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of G6PD mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
GCM1,GCM transcription factor 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:37482143,"CTD raw direct-DINP filter; raw_gene_symbol=GCM1; species=Mus musculus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of GCM1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
GJB2,gap junction protein beta 2,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:37482143,"CTD raw direct-DINP filter; raw_gene_symbol=GJB2; species=Mus musculus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of GJB2 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
GPAM,"glycerol-3-phosphate acyltransferase, mitochondrial",CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Sparus aurata (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:29933238,"CTD raw direct-DINP filter; raw_gene_symbol=GPAM; species=Sparus aurata (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of GPAM mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
GPD1,glycerol-3-phosphate dehydrogenase 1,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=1.390,Rattus norvegicus,Primary rat hepatocytes,25 mM DINP,24 h,up,GSE40342; PMID:25475144; GPL1355; probe:1371363_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=0.000191; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
GPD2,glycerol-3-phosphate dehydrogenase 2,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=1.192,Rattus norvegicus,Primary rat hepatocytes,100 mM DINP,24 h,up,GSE40342; PMID:25475144; GPL1355; probe:1387670_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=8.46e-05; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
GPX1,glutathione peroxidase 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Sparus aurata (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31230093,"CTD raw direct-DINP filter; raw_gene_symbol=GPX1; species=Sparus aurata (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of GPX1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
GRN,granulin precursor,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Rattus norvegicus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:16493179,"CTD raw direct-DINP filter; raw_gene_symbol=GRN; species=Rattus norvegicus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of GRN mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
GSR,glutathione-disulfide reductase,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Sparus aurata (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31230093,"CTD raw direct-DINP filter; raw_gene_symbol=GSR; species=Sparus aurata (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of GSR mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
GUCY2C,guanylate cyclase 2C,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=-1.059,Rattus norvegicus,Primary rat hepatocytes,25 mM DINP,48 h,down,GSE40342; PMID:25475144; GPL1355; probe:1369162_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=0.00169; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
HACL1,2-hydroxyacyl-CoA lyase 1,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=1.620,Rattus norvegicus,Primary rat hepatocytes,100 mM DINP,24 h,up,GSE40342; PMID:25475144; GPL1355; probe:1371012_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=2.1e-05; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
HAND2,heart and neural crest derivatives expressed 2,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:37482143,"CTD raw direct-DINP filter; raw_gene_symbol=HAND2; species=Mus musculus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of HAND2 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Rattus norvegicus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:33983380,"CTD raw direct-DINP filter; raw_gene_symbol=HMGCR; species=Rattus norvegicus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of HMGCR mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
