soma_joinid,organism,category,label,ontology_term_id,total_cell_count,unique_cell_count
626,homo_sapiens,cell_type,perineurial cell,CL:0002576,1481,934
627,homo_sapiens,cell_type,retinal blood vessel endothelial cell,CL:0002585,6937,2755
628,homo_sapiens,cell_type,retinal pigment epithelial cell,CL:0002586,393302,235803
629,homo_sapiens,cell_type,smooth muscle cell of the brain vasculature,CL:0002590,920,677
630,homo_sapiens,cell_type,smooth muscle cell of the pulmonary artery,CL:0002591,9467,4240
631,homo_sapiens,cell_type,bronchial smooth muscle cell,CL:0002598,1699,1259
632,homo_sapiens,cell_type,uterine smooth muscle cell,CL:0002601,60322,35796
633,homo_sapiens,cell_type,hippocampal astrocyte,CL:0002604,65712,27092
634,homo_sapiens,cell_type,astrocyte of the cerebral cortex,CL:0002605,389398,191414
635,homo_sapiens,cell_type,migratory enteric neural crest cell,CL:0002607,2969,520
636,homo_sapiens,cell_type,adipocyte of omentum tissue,CL:0002615,115456,15460
637,homo_sapiens,cell_type,adipocyte of breast,CL:0002617,11553,11553
638,homo_sapiens,cell_type,skin fibroblast,CL:0002620,138836,121410
639,homo_sapiens,cell_type,prostate stromal cell,CL:0002622,691,63
640,homo_sapiens,cell_type,acinar cell of salivary gland,CL:0002623,176876,65547
641,homo_sapiens,cell_type,immature astrocyte,CL:0002626,5891,5494
642,homo_sapiens,cell_type,mature astrocyte,CL:0002627,28029,15250
643,homo_sapiens,cell_type,immature microglial cell,CL:0002628,63,63
644,homo_sapiens,cell_type,mature microglial cell,CL:0002629,63848,26211
645,homo_sapiens,cell_type,epithelial cell of lower respiratory tract,CL:0002632,142285,111045
646,homo_sapiens,cell_type,respiratory basal cell,CL:0002633,210641,125158
647,homo_sapiens,cell_type,glandular cell of esophagus,CL:0002657,7376,1136
648,homo_sapiens,cell_type,endothelial stalk cell,CL:0002671,4439,4439
649,homo_sapiens,cell_type,retinal progenitor cell,CL:0002672,127740,122591
650,homo_sapiens,cell_type,tongue muscle cell,CL:0002673,606,202
651,homo_sapiens,cell_type,naive regulatory T cell,CL:0002677,160751,129964
652,homo_sapiens,cell_type,memory regulatory T cell,CL:0002678,179168,145782
653,homo_sapiens,cell_type,S cone cell,CL:0003050,9580,8229
654,homo_sapiens,cell_type,H1 horizontal cell,CL:0004217,78673,61600
655,homo_sapiens,cell_type,H2 horizontal cell,CL:0004218,15390,11881
656,homo_sapiens,cell_type,A2 amacrine cell,CL:0004219,1070,0
657,homo_sapiens,cell_type,starburst amacrine cell,CL:0004232,42527,18210
658,homo_sapiens,cell_type,ionocyte,CL:0005006,7798,3271
659,homo_sapiens,cell_type,renal principal cell,CL:0005009,13846,7474
660,homo_sapiens,cell_type,renal intercalated cell,CL:0005010,7669,6811
661,homo_sapiens,cell_type,renal alpha-intercalated cell,CL:0005011,5062,3428
662,homo_sapiens,cell_type,multiciliated epithelial cell,CL:0005012,80614,16577
663,homo_sapiens,cell_type,pancreatic epsilon cell,CL:0005019,1490,1490
664,homo_sapiens,cell_type,mesenchymal lymphangioblast,CL:0005021,410,365
665,homo_sapiens,cell_type,vascular lymphangioblast,CL:0005022,8847,8847
666,homo_sapiens,cell_type,visceromotor neuron,CL:0005025,756,610
667,homo_sapiens,cell_type,hepatoblast,CL:0005026,84394,69993
668,homo_sapiens,cell_type,premigratory neural crest cell,CL:0007004,644,322
669,homo_sapiens,cell_type,preosteoblast,CL:0007010,736,736
670,homo_sapiens,cell_type,enteric neuron,CL:0007011,18668,2330
671,homo_sapiens,cell_type,hematopoietic precursor cell,CL:0008001,411439,404648
672,homo_sapiens,cell_type,skeletal muscle fiber,CL:0008002,22993,22993
673,homo_sapiens,cell_type,skeletal muscle satellite stem cell,CL:0008011,69784,32771
674,homo_sapiens,cell_type,inhibitory motor neuron,CL:0008015,5623,868
675,homo_sapiens,cell_type,adult skeletal muscle myoblast,CL:0008017,154,0
676,homo_sapiens,cell_type,mesenchymal cell,CL:0008019,427526,307789
677,homo_sapiens,cell_type,pancreatic endocrine cell,CL:0008024,8,8
678,homo_sapiens,cell_type,cortical interneuron,CL:0008031,20470,20470
679,homo_sapiens,cell_type,mural cell,CL:0008034,586396,213222
680,homo_sapiens,cell_type,microcirculation associated smooth muscle cell,CL:0008035,16182,16182
681,homo_sapiens,cell_type,extravillous trophoblast,CL:0008036,104994,65290
682,homo_sapiens,cell_type,inflammatory cell,CL:0009002,91,91
683,homo_sapiens,cell_type,retinal cell,CL:0009004,54,27
684,homo_sapiens,cell_type,salivary gland cell,CL:0009005,2550,850
685,homo_sapiens,cell_type,enteroendocrine cell of small intestine,CL:0009006,1662,1116
686,homo_sapiens,cell_type,gastrointestinal tract (lamina propria) macrophage of large intestine,CL:0009008,807,0
687,homo_sapiens,cell_type,paneth cell of colon,CL:0009009,1393,959
688,homo_sapiens,cell_type,transit amplifying cell,CL:0009010,360707,92786
689,homo_sapiens,cell_type,transit amplifying cell of colon,CL:0009011,20340,18462
690,homo_sapiens,cell_type,transit amplifying cell of small intestine,CL:0009012,6766,5791
691,homo_sapiens,cell_type,intestinal crypt stem cell of large intestine,CL:0009016,1635,298
692,homo_sapiens,cell_type,intestinal crypt stem cell of small intestine,CL:0009017,3550,1668
693,homo_sapiens,cell_type,stromal cell of lamina propria of small intestine,CL:0009022,640,5
694,homo_sapiens,cell_type,colon macrophage,CL:0009038,1252,596
695,homo_sapiens,cell_type,colon goblet cell,CL:0009039,15613,9008
696,homo_sapiens,cell_type,tuft cell of colon,CL:0009041,10316,4375
697,homo_sapiens,cell_type,enteroendocrine cell of colon,CL:0009042,624,385
698,homo_sapiens,cell_type,intestinal crypt stem cell of colon,CL:0009043,15611,9722
699,homo_sapiens,cell_type,germinal center T cell,CL:0009062,391,0
700,homo_sapiens,cell_type,CD8aa(I) thymocyte,CL:0009068,31338,23074
701,homo_sapiens,cell_type,corticomedullary thymic epithelial cell,CL:0009070,12693,5889
702,homo_sapiens,cell_type,medullary thymic epithelial cell type 1,CL:0009071,9370,3673
703,homo_sapiens,cell_type,medullary thymic epithelial cell type 2,CL:0009072,1878,668
704,homo_sapiens,cell_type,medullary thymic epithelial cell type 3,CL:0009073,1999,849
705,homo_sapiens,cell_type,myo-medullary thymic epithelial cell,CL:0009075,2337,1100
706,homo_sapiens,cell_type,neuro-medullary thymic epithelial cell,CL:0009076,3661,1741
707,homo_sapiens,cell_type,thymic fibroblast type 1,CL:0009078,32606,11233
708,homo_sapiens,cell_type,thymic fibroblast type 2,CL:0009079,24643,8645
709,homo_sapiens,cell_type,tuft cell of small intestine,CL:0009080,13227,1828
710,homo_sapiens,cell_type,endothelial cell of respiratory system lymphatic vessel,CL:0009086,8493,5475
711,homo_sapiens,cell_type,lung pericyte,CL:0009089,20695,11745
712,homo_sapiens,cell_type,endothelial cell of placenta,CL:0009092,24986,24986
713,homo_sapiens,cell_type,endothelial cell of uterus,CL:0009095,20732,15235
714,homo_sapiens,cell_type,fibro/adipogenic progenitor cell,CL:0009099,20018,16423
715,homo_sapiens,cell_type,fibroblastic reticular cell,CL:0009101,11430,468
716,homo_sapiens,cell_type,centrocyte,CL:0009111,1197,598
717,homo_sapiens,cell_type,centroblast,CL:0009112,3663,1806
718,homo_sapiens,cell_type,T follicular regulatory cell,CL:0009113,831,415
719,homo_sapiens,cell_type,progenitor cell of mammary luminal epithelium,CL:0009116,18784,15396
720,homo_sapiens,cell_type,stromal cell of bone marrow,CL:0010001,213,213
721,homo_sapiens,cell_type,atrioventricular bundle cell,CL:0010005,38,38
722,homo_sapiens,cell_type,cardiac blood vessel endothelial cell,CL:0010006,72373,72373
723,homo_sapiens,cell_type,cardiac endothelial cell,CL:0010008,136798,84904
724,homo_sapiens,cell_type,cerebral cortex GABAergic interneuron,CL:0010011,82536,78172
725,homo_sapiens,cell_type,cerebral cortex neuron,CL:0010012,183017,97148
726,homo_sapiens,cell_type,cardiac neuron,CL:0010022,20442,9902
727,homo_sapiens,cell_type,lens fiber cell,CL:0011004,1101,1033
728,homo_sapiens,cell_type,GABAergic interneuron,CL:0011005,6453,5298
729,homo_sapiens,cell_type,paraxial cell,CL:0011007,4330,4330
730,homo_sapiens,cell_type,lateral mesodermal cell,CL:0011010,11823,11823
731,homo_sapiens,cell_type,intermediate mesodermal cell,CL:0011011,9629,9629
732,homo_sapiens,cell_type,neural crest cell,CL:0011012,18726,11722
733,homo_sapiens,cell_type,mesothelial cell of epicardium,CL:0011019,5037,4332
734,homo_sapiens,cell_type,neural progenitor cell,CL:0011020,314032,219529
735,homo_sapiens,cell_type,double negative T regulatory cell,CL:0011024,5636,5046
736,homo_sapiens,cell_type,exhausted T cell,CL:0011025,66993,42503
737,homo_sapiens,cell_type,progenitor cell,CL:0011026,201246,135630
738,homo_sapiens,cell_type,skeletal muscle fibroblast,CL:0011027,5913,5913
739,homo_sapiens,cell_type,monocyte-derived dendritic cell,CL:0011031,12876,12876
740,homo_sapiens,cell_type,chorionic trophoblast cell,CL:0011101,366,287
741,homo_sapiens,cell_type,sympathetic neuron,CL:0011103,4744,3805
742,homo_sapiens,cell_type,colon epithelial cell,CL:0011108,47622,30348
743,homo_sapiens,cell_type,precursor cell,CL:0011115,567,567
744,homo_sapiens,cell_type,neuron of the forebrain,CL:0012001,1332,666
745,homo_sapiens,cell_type,forebrain radial glial cell,CL:0013000,88343,76542
746,homo_sapiens,cell_type,pulmonary ionocyte,CL:0017000,2673,2623
747,homo_sapiens,cell_type,splanchnic mesodermal cell,CL:0017001,19921,19921
748,homo_sapiens,cell_type,prostate neuroendocrine cell,CL:0017002,48,24
749,homo_sapiens,cell_type,"Axl+ dendritic cell, human",CL:0017009,4728,3771
750,homo_sapiens,cell_type,tracheobronchial serous cell,CL:0019001,8950,7103
751,homo_sapiens,cell_type,tracheobronchial goblet cell,CL:0019003,2158,1185
752,homo_sapiens,cell_type,blood vessel smooth muscle cell,CL:0019018,125071,108205
753,homo_sapiens,cell_type,tracheobronchial smooth muscle cell,CL:0019019,28874,19542
754,homo_sapiens,cell_type,endothelial cell of periportal hepatic sinusoid,CL:0019021,8479,5070
755,homo_sapiens,cell_type,endothelial cell of pericentral hepatic sinusoid,CL:0019022,35210,17334
756,homo_sapiens,cell_type,periportal region hepatocyte,CL:0019026,187874,97131
757,homo_sapiens,cell_type,midzonal region hepatocyte,CL:0019028,46630,22063
758,homo_sapiens,cell_type,centrilobular region hepatocyte,CL:0019029,101502,54146
759,homo_sapiens,cell_type,intestine goblet cell,CL:0019031,191700,18660
760,homo_sapiens,cell_type,intestinal tuft cell,CL:0019032,6650,3427
761,homo_sapiens,cell_type,mesonephric nephron tubule epithelial cell,CL:1000022,3513,3513
762,homo_sapiens,cell_type,forebrain neuroblast,CL:1000042,27211,21227
763,homo_sapiens,cell_type,spinal cord radial glial cell,CL:1000073,24,12
764,homo_sapiens,cell_type,lung goblet cell,CL:1000143,2664,2664
765,homo_sapiens,cell_type,pulmonary neuroendocrine cell,CL:1000223,5014,4504
766,homo_sapiens,cell_type,lung multiciliated epithelial cell,CL:1000271,36618,27690
767,homo_sapiens,cell_type,lung secretory cell,CL:1000272,101449,79269
768,homo_sapiens,cell_type,smooth muscle cell of small intestine,CL:1000275,255,0
769,homo_sapiens,cell_type,smooth muscle fiber of ileum,CL:1000278,54,0
770,homo_sapiens,cell_type,smooth muscle cell of large intestine,CL:1000279,1197,0
771,homo_sapiens,cell_type,epithelial cell of urethra,CL:1000296,23634,7702
772,homo_sapiens,cell_type,mesothelial cell of dura mater,CL:1000298,2238,1119
773,homo_sapiens,cell_type,fibroblast of connective tissue of prostate,CL:1000299,8131,2552
774,homo_sapiens,cell_type,fibroblast of connective tissue of nonglandular part of prostate,CL:1000304,7654,3827
775,homo_sapiens,cell_type,fibroblast of connective tissue of glandular part of prostate,CL:1000305,3106,1553
776,homo_sapiens,cell_type,epicardial adipocyte,CL:1000309,9956,5690
777,homo_sapiens,cell_type,adipocyte of epicardial fat of left ventricle,CL:1000311,629,629
778,homo_sapiens,cell_type,bronchial goblet cell,CL:1000312,4526,2460
779,homo_sapiens,cell_type,large intestine goblet cell,CL:1000320,4671,1557
780,homo_sapiens,cell_type,ileal goblet cell,CL:1000326,230,0
781,homo_sapiens,cell_type,tracheal goblet cell,CL:1000329,70417,69953
782,homo_sapiens,cell_type,serous cell of epithelium of trachea,CL:1000330,978,326
783,homo_sapiens,cell_type,serous cell of epithelium of bronchus,CL:1000331,45,15
784,homo_sapiens,cell_type,serous cell of epithelium of lobular bronchiole,CL:1000333,719,719
785,homo_sapiens,cell_type,enterocyte of epithelium of small intestine,CL:1000334,11250,11250
786,homo_sapiens,cell_type,enterocyte of epithelium proper of small intestine,CL:1000339,4245,1415
787,homo_sapiens,cell_type,enterocyte of epithelium proper of duodenum,CL:1000340,40485,13495
788,homo_sapiens,cell_type,enterocyte of epithelium proper of jejunum,CL:1000341,1215,405
789,homo_sapiens,cell_type,enterocyte of epithelium proper of ileum,CL:1000342,20240,6477
790,homo_sapiens,cell_type,paneth cell of epithelium of small intestine,CL:1000343,5776,2036
791,homo_sapiens,cell_type,colonocyte,CL:1000347,331860,55954
792,homo_sapiens,cell_type,basal cell of epithelium of trachea,CL:1000348,32681,32681
793,homo_sapiens,cell_type,basal cell of epithelium of bronchus,CL:1000349,739,739
794,homo_sapiens,cell_type,basal cell of epithelium of lobular bronchiole,CL:1000352,121,121
795,homo_sapiens,cell_type,microfold cell of epithelium of small intestine,CL:1000353,19,19
796,homo_sapiens,cell_type,endothelial cell of hepatic sinusoid,CL:1000398,44516,23977
797,homo_sapiens,cell_type,endothelial cell of arteriole,CL:1000412,64396,42499
798,homo_sapiens,cell_type,endothelial cell of artery,CL:1000413,356002,114546
799,homo_sapiens,cell_type,endothelial cell of venule,CL:1000414,211097,99025
800,homo_sapiens,cell_type,stem cell of epidermis,CL:1000428,1187,1187
801,homo_sapiens,cell_type,conjunctival epithelial cell,CL:1000432,122771,37984
802,homo_sapiens,cell_type,ciliary muscle cell,CL:1000443,258286,239140
803,homo_sapiens,cell_type,epithelial cell of stratum germinativum of esophagus,CL:1000447,754,754
804,homo_sapiens,cell_type,epithelial cell of sweat gland,CL:1000448,301,301
805,homo_sapiens,cell_type,epithelial cell of nephron,CL:1000449,23259,4803
806,homo_sapiens,cell_type,epithelial cell of glomerular capsule,CL:1000450,651,0
807,homo_sapiens,cell_type,parietal epithelial cell,CL:1000452,16982,10106
808,homo_sapiens,cell_type,melanocyte of skin,CL:1000458,2760,2686
809,homo_sapiens,cell_type,cardiac pacemaker cell of sinoatrial node,CL:1000477,1270,1270
810,homo_sapiens,cell_type,basal cell of urothelium,CL:1000486,20484,15436
811,homo_sapiens,cell_type,smooth muscle cell of prostate,CL:1000487,8810,3938
812,homo_sapiens,cell_type,cholangiocyte,CL:1000488,11084,5816
813,homo_sapiens,cell_type,mesothelial cell of pleura,CL:1000491,2931,2793
814,homo_sapiens,cell_type,nephron tubule epithelial cell,CL:1000494,495,0
815,homo_sapiens,cell_type,small intestine goblet cell,CL:1000495,10325,6237
816,homo_sapiens,cell_type,kidney cell,CL:1000497,12777,10859
817,homo_sapiens,cell_type,kidney interstitial cell,CL:1000500,18504,8409
818,homo_sapiens,cell_type,kidney inner medulla collecting duct epithelial cell,CL:1000547,6352,1
819,homo_sapiens,cell_type,kidney cortex collecting duct epithelial cell,CL:1000549,45,45
820,homo_sapiens,cell_type,papillary tips cell,CL:1000597,1169,315
821,homo_sapiens,cell_type,kidney interstitial fibroblast,CL:1000692,89067,55648
822,homo_sapiens,cell_type,kidney interstitial alternatively activated macrophage,CL:1000695,12333,5686
823,homo_sapiens,cell_type,kidney resident macrophage,CL:1000698,174,87
824,homo_sapiens,cell_type,kidney pelvis urothelial cell,CL:1000703,51,51
825,homo_sapiens,cell_type,kidney outer medulla collecting duct intercalated cell,CL:1000717,190,89
826,homo_sapiens,cell_type,glomerular mesangial cell,CL:1000742,78,78
827,homo_sapiens,cell_type,kidney connecting tubule epithelial cell,CL:1000768,69082,33611
828,homo_sapiens,cell_type,kidney proximal convoluted tubule epithelial cell,CL:1000838,164125,144185
829,homo_sapiens,cell_type,kidney distal convoluted tubule epithelial cell,CL:1000849,90949,53619
830,homo_sapiens,cell_type,macula densa epithelial cell,CL:1000850,1840,843
831,homo_sapiens,cell_type,kidney arterial blood vessel cell,CL:1000891,1121,0
832,homo_sapiens,cell_type,kidney capillary endothelial cell,CL:1000892,1580,1580
833,homo_sapiens,cell_type,kidney loop of Henle epithelial cell,CL:1000909,9920,9799
834,homo_sapiens,cell_type,glomerular capillary endothelial cell,CL:1001005,6645,920
835,homo_sapiens,cell_type,kidney loop of Henle ascending limb epithelial cell,CL:1001016,13041,13041
836,homo_sapiens,cell_type,kidney loop of Henle descending limb epithelial cell,CL:1001021,1011,1011
837,homo_sapiens,cell_type,peritubular capillary endothelial cell,CL:1001033,12717,970
838,homo_sapiens,cell_type,vasa recta cell,CL:1001036,5698,0
839,homo_sapiens,cell_type,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,354720,191665
840,homo_sapiens,cell_type,kidney loop of Henle thin ascending limb epithelial cell,CL:1001107,28477,10635
841,homo_sapiens,cell_type,kidney loop of Henle cortical thick ascending limb epithelial cell,CL:1001109,1156,1156
842,homo_sapiens,cell_type,kidney loop of Henle thin descending limb epithelial cell,CL:1001111,75034,50149
843,homo_sapiens,cell_type,vasa recta ascending limb cell,CL:1001131,3170,1195
844,homo_sapiens,cell_type,kidney collecting duct cell,CL:1001225,545,125
845,homo_sapiens,cell_type,vasa recta descending limb cell,CL:1001285,1580,776
846,homo_sapiens,cell_type,renal interstitial pericyte,CL:1001318,20154,9064
847,homo_sapiens,cell_type,bladder urothelial cell,CL:1001428,81723,27241
848,homo_sapiens,cell_type,kidney collecting duct principal cell,CL:1001431,184096,122669
849,homo_sapiens,cell_type,kidney collecting duct intercalated cell,CL:1001432,109533,65765
850,homo_sapiens,cell_type,epithelial cell of exocrine pancreas,CL:1001433,5568,5568
851,homo_sapiens,cell_type,sensory neuron of dorsal root ganglion,CL:1001451,2735,2286
852,homo_sapiens,cell_type,medium spiny neuron,CL:1001474,617,605
853,homo_sapiens,cell_type,glycinergic neuron,CL:1001509,4916,2458
854,homo_sapiens,cell_type,intestinal enteroendocrine cell,CL:1001516,1007,1007
855,homo_sapiens,cell_type,lung endothelial cell,CL:1001567,23907,23907
856,homo_sapiens,cell_type,pulmonary artery endothelial cell,CL:1001568,38541,20186
857,homo_sapiens,cell_type,hippocampal interneuron,CL:1001569,69859,9976
858,homo_sapiens,cell_type,hippocampal pyramidal neuron,CL:1001571,132850,12345
859,homo_sapiens,cell_type,colon endothelial cell,CL:1001572,6665,2334
860,homo_sapiens,cell_type,oral mucosa squamous cell,CL:1001576,7386,7386
861,homo_sapiens,cell_type,salivary gland glandular cell,CL:1001596,14528,1071
862,homo_sapiens,cell_type,cerebral cortex endothelial cell,CL:1001602,12291,6226
863,homo_sapiens,cell_type,lung macrophage,CL:1001603,161086,144480
864,homo_sapiens,cell_type,articular chondrocyte,CL:1001607,960,526
865,homo_sapiens,cell_type,muscle fibroblast,CL:1001609,16977,9967
866,homo_sapiens,cell_type,cerebellar neuron,CL:1001611,2418,1209
867,homo_sapiens,cell_type,peripheral blood mononuclear cell,CL:2000001,131,131
868,homo_sapiens,cell_type,decidual cell,CL:2000002,118525,20665
869,homo_sapiens,cell_type,tonsil germinal center B cell,CL:2000006,20505,10188
870,homo_sapiens,cell_type,lung microvascular endothelial cell,CL:2000016,3430,3430
871,homo_sapiens,cell_type,endothelial cell of coronary artery,CL:2000018,2605,0
872,homo_sapiens,cell_type,sebaceous gland cell,CL:2000021,233,233
873,homo_sapiens,cell_type,cerebellum glutamatergic neuron,CL:2000028,1846,923
874,homo_sapiens,cell_type,central nervous system neuron,CL:2000029,70165,44572
875,homo_sapiens,cell_type,hypothalamus cell,CL:2000030,2564,1282
876,homo_sapiens,cell_type,peripheral nervous system neuron,CL:2000032,6195,6144
877,homo_sapiens,cell_type,dermis microvascular lymphatic vessel endothelial cell,CL:2000041,742,603
878,homo_sapiens,cell_type,embryonic fibroblast,CL:2000042,11956,11956
879,homo_sapiens,cell_type,ventricular cardiac muscle cell,CL:2000046,101284,5770
880,homo_sapiens,cell_type,brainstem motor neuron,CL:2000047,2849,2849
881,homo_sapiens,cell_type,hepatic pit cell,CL:2000054,9829,9320
882,homo_sapiens,cell_type,liver dendritic cell,CL:2000055,1441,1236
883,homo_sapiens,cell_type,prostate gland microvascular endothelial cell,CL:2000059,14230,11772
884,homo_sapiens,cell_type,placental villous trophoblast,CL:2000060,154710,101388
885,homo_sapiens,cell_type,ovarian surface epithelial cell,CL:2000064,16930,8322
886,homo_sapiens,cell_type,cardiac ventricle fibroblast,CL:2000066,26027,0
887,homo_sapiens,cell_type,conjunctiva goblet cell,CL:2000084,312,0
888,homo_sapiens,cell_type,hair follicular keratinocyte,CL:2000092,10424,5540
889,homo_sapiens,cell_type,bronchus fibroblast of lung,CL:2000093,28944,19425
890,homo_sapiens,cell_type,cord blood hematopoietic stem cell,CL:2000095,9056,9056
891,homo_sapiens,cell_type,midbrain dopaminergic neuron,CL:2000097,39520,19760
892,homo_sapiens,cell_type,Hofbauer cell,CL:3000001,52616,52616
893,homo_sapiens,cell_type,fibroblast of breast,CL:4006000,31907,14794
894,homo_sapiens,cell_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,14400,14400
895,homo_sapiens,cell_type,extratelencephalic-projecting glutamatergic cortical neuron,CL:4023009,140218,70109
896,homo_sapiens,cell_type,lamp5 GABAergic cortical interneuron,CL:4023011,547716,312170
897,homo_sapiens,cell_type,near-projecting glutamatergic cortical neuron,CL:4023012,133907,61801
898,homo_sapiens,cell_type,corticothalamic-projecting glutamatergic cortical neuron,CL:4023013,188306,87791
899,homo_sapiens,cell_type,sncg GABAergic cortical interneuron,CL:4023015,130802,61056
900,homo_sapiens,cell_type,VIP GABAergic cortical interneuron,CL:4023016,960731,582615
901,homo_sapiens,cell_type,sst GABAergic cortical interneuron,CL:4023017,831673,479385
902,homo_sapiens,cell_type,pvalb GABAergic cortical interneuron,CL:4023018,930030,546333
903,homo_sapiens,cell_type,direct pathway medium spiny neuron,CL:4023026,11276,11276
904,homo_sapiens,cell_type,indirect pathway medium spiny neuron,CL:4023029,11091,11091
905,homo_sapiens,cell_type,ON retinal ganglion cell,CL:4023032,549,0
906,homo_sapiens,cell_type,OFF retinal ganglion cell,CL:4023033,1124,0
907,homo_sapiens,cell_type,chandelier pvalb GABAergic cortical interneuron,CL:4023036,73701,35113
908,homo_sapiens,cell_type,L6b glutamatergic cortical neuron,CL:4023038,174335,85962
909,homo_sapiens,cell_type,L2/3-6 intratelencephalic projecting glutamatergic neuron,CL:4023040,4708425,2364373
910,homo_sapiens,cell_type,L5 extratelencephalic projecting glutamatergic cortical neuron,CL:4023041,35520,16466
911,homo_sapiens,cell_type,L6 corticothalamic-projecting glutamatergic cortical neuron,CL:4023042,74229,62327
912,homo_sapiens,cell_type,L5/6 near-projecting glutamatergic neuron of the primary motor cortex,CL:4023043,1215,1215
913,homo_sapiens,cell_type,L6b glutamatergic neuron of the primary motor cortex,CL:4023046,51806,41662
914,homo_sapiens,cell_type,L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,CL:4023050,4206,4206
915,homo_sapiens,cell_type,vascular leptomeningeal cell,CL:4023051,83838,60724
916,homo_sapiens,cell_type,mesothelial fibroblast,CL:4023054,232,232
917,homo_sapiens,cell_type,committed oligodendrocyte precursor,CL:4023059,3687,3035
918,homo_sapiens,cell_type,medial ganglionic eminence derived interneuron,CL:4023063,2386,2386
919,homo_sapiens,cell_type,caudal ganglionic eminence derived cortical interneuron,CL:4023064,90723,45646
920,homo_sapiens,cell_type,thalamic excitatory neuron,CL:4023068,312,312
921,homo_sapiens,cell_type,medial ganglionic eminence derived GABAergic cortical interneuron,CL:4023069,17021,10617
922,homo_sapiens,cell_type,brain vascular cell,CL:4023072,10009,9934
923,homo_sapiens,cell_type,chandelier cell,CL:4023083,490,490
924,homo_sapiens,cell_type,arachnoid barrier cell,CL:4023097,1362,681
925,homo_sapiens,cell_type,cerebral cortex pyramidal neuron,CL:4023111,331000,165500
926,homo_sapiens,cell_type,sst chodl GABAergic cortical interneuron,CL:4023121,100,100
927,homo_sapiens,cell_type,unipolar brush cell,CL:4023161,69521,56493
928,homo_sapiens,cell_type,midget ganglion cell of retina,CL:4023188,24814,14779
929,homo_sapiens,cell_type,parasol ganglion cell of retina,CL:4023189,446,2
930,homo_sapiens,cell_type,pulmonary capillary endothelial cell,CL:4028001,49563,48259
931,homo_sapiens,cell_type,alveolar capillary type 1 endothelial cell,CL:4028002,21624,12583
932,homo_sapiens,cell_type,alveolar capillary type 2 endothelial cell,CL:4028003,18006,4485
933,homo_sapiens,cell_type,alveolar type 1 fibroblast cell,CL:4028004,71177,51100
934,homo_sapiens,cell_type,alveolar adventitial fibroblast,CL:4028006,44952,23053
935,homo_sapiens,cell_type,fallopian tube secretory epithelial cell,CL:4030006,465721,252389
936,homo_sapiens,cell_type,epithelial cell of proximal tubule segment 1,CL:4030009,6086,6086
937,homo_sapiens,cell_type,epithelial cell of proximal tubule segment 3,CL:4030011,7121,3698
938,homo_sapiens,cell_type,kidney collecting duct alpha-intercalated cell,CL:4030015,6302,1855
939,homo_sapiens,cell_type,epithelial cell of early distal convoluted tubule,CL:4030016,8681,2945
940,homo_sapiens,cell_type,kidney connecting tubule principal cell,CL:4030018,3528,1257
941,homo_sapiens,cell_type,renal medullary fibroblast,CL:4030022,5902,0
942,homo_sapiens,cell_type,respiratory tract hillock cell,CL:4030023,10170,5515
943,homo_sapiens,cell_type,BEST4+ enterocyte,CL:4030026,66663,5552
944,homo_sapiens,cell_type,GABAergic amacrine cell,CL:4030027,765858,351809
945,homo_sapiens,cell_type,glycinergic amacrine cell,CL:4030028,285645,129715
946,homo_sapiens,cell_type,interstitial cell,CL:4030031,905,905
947,homo_sapiens,cell_type,respiratory tract multiciliated cell,CL:4030034,22618,13000
948,homo_sapiens,cell_type,luminal endometrial multiciliated epithelial cell,CL:4030041,8937,990
949,homo_sapiens,cell_type,intermediate cell of urothelium,CL:4030055,27013,17198
950,homo_sapiens,cell_type,umbrella cell of urothelium,CL:4030056,5238,3945
951,homo_sapiens,cell_type,L2/3 intratelencephalic projecting glutamatergic neuron,CL:4030059,942111,789210
952,homo_sapiens,cell_type,L3 intratelencephalic projecting glutamatergic neuron,CL:4030061,912,912
953,homo_sapiens,cell_type,L4/5 intratelencephalic projecting glutamatergic neuron,CL:4030062,7153,7153
954,homo_sapiens,cell_type,L4 intratelencephalic projecting glutamatergic neuron,CL:4030063,24266,24266
955,homo_sapiens,cell_type,L5 intratelencephalic projecting glutamatergic neuron,CL:4030064,9638,9638
956,homo_sapiens,cell_type,L6 intratelencephalic projecting glutamatergic neuron,CL:4030065,128170,107182
957,homo_sapiens,cell_type,L5/6 near-projecting glutamatergic neuron,CL:4030067,47164,39073
958,homo_sapiens,cell_type,club-like cell of the urethral epithelium,CL:4032000,9932,4966
959,homo_sapiens,cell_type,myoepithelial cell of bronchus submucosal gland,CL:4033003,82,82
960,homo_sapiens,cell_type,serous secreting cell of bronchus submucosal gland,CL:4033005,14926,9746
961,homo_sapiens,cell_type,vein endothelial cell of respiratory system,CL:4033008,29758,25854
962,homo_sapiens,cell_type,neuroendocrine cell of epithelium of lobar bronchus,CL:4033010,1407,1407
963,homo_sapiens,cell_type,suprabasal keratinocyte,CL:4033013,27263,25178
964,homo_sapiens,cell_type,peg cell,CL:4033014,9787,9787
965,homo_sapiens,cell_type,retinal astrocyte,CL:4033015,36467,14954
966,homo_sapiens,cell_type,secondary crest myofibroblast,CL:4033016,5525,4754
