GeneCards_Rank,GeneSymbol,GeneName,GeneType,RelevanceScore,KnowledgeScore
"353","LINC00920","Long Intergenic Non-Protein Coding RNA 920","RNA Gene","16.9","52"
"354","MIR10A","MicroRNA 10a","RNA Gene","16.9","64"
"355","PELATON","Plaque Enriched LncRNA In Atherosclerotic And Inflammatory Bowel Macrophage Regulation","RNA Gene","16.9","53"
"356","SBF2-AS1","SBF2 Antisense RNA 1","RNA Gene","16.8","65"
"357","EIF3E","Eukaryotic Translation Initiation Factor 3 Subunit E","Protein Coding","16.8","82"
"358","TPT1-AS1","TPT1 Antisense RNA 1","RNA Gene","16.8","55"
"359","NLRC4","NLR Family CARD Domain Containing 4","Protein Coding","16.8","92"
"360","TNS2","Tensin 2","Protein Coding","16.8","86"
"361","EWSAT1","Ewing Sarcoma Associated Transcript 1","RNA Gene","16.8","52"
"362","DSCAM-AS1","DSCAM Antisense RNA 1","RNA Gene","16.8","50"
"363","HCP5","HLA Complex P5","RNA Gene","16.7","55"
"364","MIR129-2","MicroRNA 129-2","RNA Gene","16.7","58"
"365","MIR9-2HG","MIR9-2 Host Gene","RNA Gene","16.7","58"
"366","GAPVD1","GTPase Activating Protein And VPS9 Domains 1","Protein Coding","16.7","83"
"367","LINC00339","Long Intergenic Non-Protein Coding RNA 339","RNA Gene","16.7","53"
"368","BLACAT1","BLACAT1 Overlapping LEMD1 Locus","Protein Coding","16.7","38"
"369","RSPO2","R-Spondin 2","Protein Coding","16.7","77"
"370","MMP7","Matrix Metallopeptidase 7","Protein Coding","16.7","85"
"371","PTPRK","Protein Tyrosine Phosphatase Receptor Type K","Protein Coding","16.7","82"
"372","MIR372","MicroRNA 372","RNA Gene","16.7","60"
"373","ABCG2","ATP Binding Cassette Subfamily G Member 2 (JR Blood Group)","Protein Coding","16.6","93"
"374","NF1","Neurofibromin 1","Protein Coding","16.6","100"
"375","TUSC7","Tumor Suppressor Candidate 7","RNA Gene","16.6","51"
"376","CXCR4","C-X-C Motif Chemokine Receptor 4","Protein Coding","16.6","100"
"377","MIR339","MicroRNA 339","RNA Gene","16.6","62"
"378","GFOD3P","Gfo/Idh/MocA-Like Oxidoreductase Domain Containing 3, Pseudogene","Pseudogene","16.6","49"
"379","NAT2","N-Acetyltransferase 2","Protein Coding","16.6","81"
"380","MIR7-3","MicroRNA 7-3","RNA Gene","16.6","56"
"381","LINC00957","Long Intergenic Non-Protein Coding RNA 957","RNA Gene","16.6","51"
"382","MIR22HG","MIR22 Host Gene","RNA Gene","16.6","58"
"383","SNHG4","Small Nucleolar RNA Host Gene 4","RNA Gene","16.6","51"
"384","LINC00504","Long Intergenic Non-Protein Coding RNA 504","RNA Gene","16.6","53"
"385","LINC00174","Long Intergenic Non-Protein Coding RNA 174","RNA Gene","16.6","52"
"386","PNN","Pinin, Desmosome Associated Protein","Protein Coding","16.5","69"
"387","MIR422A","MicroRNA 422a","RNA Gene","16.5","56"
"388","ST3GAL6-AS1","ST3GAL6 Antisense RNA 1","RNA Gene","16.5","53"
"389","LINC00668","Long Intergenic Non-Protein Coding RNA 668","RNA Gene","16.5","50"
"390","KAT7","Lysine Acetyltransferase 7","Protein Coding","16.5","83"
"391","LINC02257","Long Intergenic Non-Protein Coding RNA 2257","RNA Gene","16.5","51"
"392","MIER3","MIER Family Member 3","Protein Coding","16.5","62"
"393","PRPF31","Pre-MRNA Processing Factor 31","Protein Coding","16.5","93"
"394","CUL2","Cullin 2","Protein Coding","16.5","88"
"395","HAND2-AS1","HAND2 Antisense RNA 1","RNA Gene","16.5","61"
"396","CCEPR","Cervical Carcinoma Expressed PCNA Regulatory LncRNA","RNA Gene","16.5","51"
"397","KIRREL1","Kirre Like Nephrin Family Adhesion Molecule 1","Protein Coding","16.5","79"
"398","DLX6-AS1","DLX6 Antisense RNA 1","RNA Gene","16.5","63"
"399","LINC01705","Long Intergenic Non-Protein Coding RNA 1705","RNA Gene","16.5","53"
"400","DUXAP8","Double Homeobox A Pseudogene 8","Pseudogene","16.4","49"
"401","MIR95","MicroRNA 95","RNA Gene","16.4","57"
"402","SPRY4-IT1","SPRY4 Intronic Transcript 1","RNA Gene","16.4","51"
"403","ARAP1-AS1","ARAP1 Antisense RNA 1","RNA Gene","16.4","51"
"404","FOXD2-AS1","FOXD2 Adjacent Opposite Strand RNA 1","RNA Gene","16.4","53"
"405","MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","16.4","94"
"406","HOXA5","Homeobox A5","Protein Coding","16.4","72"
"407","TINCR","TINCR Ubiquitin Domain Containing","Protein Coding","16.4","50"
"408","IGFBP3","Insulin Like Growth Factor Binding Protein 3","Protein Coding","16.4","86"
"409","NRAD1","Non-Coding RNA In The Aldehyde Dehydrogenase 1A Pathway","RNA Gene","16.4","53"
"410","BICDL3P","BICD Family Like 3, Pseudogene","Pseudogene","16.4","48"
"411","SMAD3","SMAD Family Member 3","Protein Coding","16.3","100"
"412","PLOD2","Procollagen-Lysine,2-Oxoglutarate 5-Dioxygenase 2","Protein Coding","16.3","92"
"413","LINC01589","Long Intergenic Non-Protein Coding RNA 1589","RNA Gene","16.3","53"
"414","LINC00467","Long Intergenic Non-Protein Coding RNA 467","RNA Gene","16.3","53"
"415","DLEU2","Deleted In Lymphocytic Leukemia 2","RNA Gene","16.3","57"
"416","PART1","Prostate Androgen-Regulated Transcript 1","RNA Gene","16.3","55"
"417","MAP7","Microtubule Associated Protein 7","Protein Coding","16.3","70"
"418","GAL","Galanin And GMAP Prepropeptide","Protein Coding","16.3","83"
"419","MAPKAPK5-AS1","MAPKAPK5 Antisense RNA 1","RNA Gene","16.3","54"
"420","LINC00520","Long Intergenic Non-Protein Coding RNA 520","RNA Gene","16.3","53"
"421","LINC00857","Long Intergenic Non-Protein Coding RNA 857","RNA Gene","16.3","53"
"422","SNHG8","Small Nucleolar RNA Host Gene 8","RNA Gene","16.2","56"
"423","FAM30A","Family With Sequence Similarity 30 Member A","RNA Gene","16.2","57"
"424","SMARCA5","SNF2 Related Chromatin Remodeling ATPase 5","Protein Coding","16.2","92"
"425","LEF1-AS1","LEF1 Antisense RNA 1","RNA Gene","16.2","53"
"426","LIFR-AS1","LIFR Antisense RNA 1","RNA Gene","16.2","53"
"427","OTUD6B-AS1","OTUD6B Antisense RNA 1","RNA Gene","16.2","51"
"428","CEACAM5","CEA Cell Adhesion Molecule 5","Protein Coding","16.2","81"
"429","ANKFY1","Ankyrin Repeat And FYVE Domain Containing 1","Protein Coding","16.2","84"
"430","DAAM2","Dishevelled Associated Activator Of Morphogenesis 2","Protein Coding","16.2","81"
"431","GPC6","Glypican 6","Protein Coding","16.2","84"
"432","RPPH1","Ribonuclease P RNA Component H1","RNA Gene","16.2","54"
"433","FAM3D-AS1","FAM3D Antisense RNA 1","RNA Gene","16.2","51"
"434","LINC01767","Long Intergenic Non-Protein Coding RNA 1767","RNA Gene","16.2","50"
"435","FARSA","Phenylalanyl-TRNA Synthetase Subunit Alpha","Protein Coding","16.2","79"
"436","AGAP2-AS1","AGAP2 Antisense RNA 1","RNA Gene","16.2","55"
"437","LINC01605","Long Intergenic Non-Protein Coding RNA 1605","RNA Gene","16.2","53"
"438","TFDP1","Transcription Factor Dp-1","Protein Coding","16.2","85"
"439","YRDC","YrdC N6-Threonylcarbamoyltransferase Domain Containing","Protein Coding","16.2","67"
"440","ACVR1B","Activin A Receptor Type 1B","Protein Coding","16.1","87"
"441","TRERNA1","Translation Regulatory Long Non-Coding RNA 1","RNA Gene","16.1","52"
"442","TLX1NB","TLX1 Neighbor","RNA Gene","16.1","53"
"443","MBNL1-AS1","MBNL1 Antisense RNA 1","RNA Gene","16.1","53"
"444","MIR181A2","MicroRNA 181a-2","RNA Gene","16.1","66"
"445","MAP3K20-AS1","MAP3K20 Antisense RNA 1","RNA Gene","16.1","65"
"446","SNHG3","Small Nucleolar RNA Host Gene 3","RNA Gene","16.0","60"
"447","SNHG12","Small Nucleolar RNA Host Gene 12","RNA Gene","16.0","59"
"448","FOXP4-AS1","FOXP4 Antisense RNA 1","RNA Gene","16.0","53"
"449","PURPL","P53 Upregulated Regulator Of P53 Levels","RNA Gene","16.0","53"
"450","DDX11-AS1","DDX11 Antisense RNA 1","RNA Gene","16.0","52"
"451","MCF2L-AS1","MCF2L Antisense RNA 1","RNA Gene","16.0","52"
"452","RPL34-DT","RPL34 Divergent Transcript","RNA Gene","16.0","52"
"453","CERS6-AS1","CERS6 Antisense RNA 1","RNA Gene","16.0","51"
"454","RUBCNL","Rubicon Like Autophagy Enhancer","Protein Coding","16.0","64"
"455","DLGAP1-AS2","DLGAP1 Antisense RNA 2","RNA Gene","16.0","53"
"456","NKILA","NF-KappaB Interacting LncRNA","RNA Gene","16.0","53"
"457","NR2F2-AS1","NR2F2 Antisense RNA 1","RNA Gene","16.0","53"
"458","ITIH4-AS1","ITIH4 Antisense RNA 1","RNA Gene","16.0","51"
"459","HCG18","HLA Complex Group 18","RNA Gene","16.0","53"
"460","LINC01485","Long Intergenic Non-Protein Coding RNA 1485","RNA Gene","16.0","53"
"461","MIR127","MicroRNA 127","RNA Gene","16.0","61"
"462","GON7","GON7 Subunit Of KEOPS Complex","Protein Coding","16.0","57"
"463","EGFR-AS1","EGFR Antisense RNA 1","RNA Gene","16.0","65"
"464","MIR155HG","MIR155 Host Gene","RNA Gene","16.0","61"
"465","PTTG3P","Pituitary Tumor-Transforming 3, Pseudogene","Pseudogene","16.0","56"
"466","BBOX1-AS1","BBOX1 Antisense RNA 1","RNA Gene","16.0","53"
"467","EPIC1","Epigenetically Induced MYC Interacting LncRNA 1","RNA Gene","16.0","53"
"468","LINC00659","Long Intergenic Non-Protein Coding RNA 659","RNA Gene","16.0","51"
"469","SPINT1-AS1","SPINT1 Antisense RNA 1","RNA Gene","16.0","51"
"470","CTLA4","Cytotoxic T-Lymphocyte Associated Protein 4","Protein Coding","16.0","100"
"471","PCGEM1","PCGEM1 Prostate-Specific Transcript","RNA Gene","15.9","57"
"472","ADAMTS9-AS1","ADAMTS9 Antisense RNA 1","RNA Gene","15.9","54"
"473","LINC01123","Long Intergenic Non-Protein Coding RNA 1123","RNA Gene","15.9","51"
"474","TNF","Tumor Necrosis Factor","Protein Coding","15.9","91"
"475","ACAP2","ArfGAP With Coiled-Coil, Ankyrin Repeat And PH Domains 2","Protein Coding","15.9","70"
"476","CCDC66","Coiled-Coil Domain Containing 66","Protein Coding","15.9","64"
"477","LINC00312","Long Intergenic Non-Protein Coding RNA 312","RNA Gene","15.9","53"
"478","ZNF667-AS1","ZNF667 Antisense RNA 1","RNA Gene","15.9","53"
"479","INHBA-AS1","INHBA Antisense RNA 1","RNA Gene","15.9","53"
"480","FAM201A","Family With Sequence Similarity 201 Member A","RNA Gene","15.9","52"
"481","MT-CO2","Mitochondrially Encoded Cytochrome C Oxidase II","Protein Coding","15.9","90"
"482","LINC01116","Long Intergenic Non-Protein Coding RNA 1116","RNA Gene","15.9","52"
"483","SNHG7","Small Nucleolar RNA Host Gene 7","RNA Gene","15.8","58"
"484","CA3-AS1","CA3 Antisense RNA 1","RNA Gene","15.8","54"
"485","TRPM2-AS","TRPM2 Antisense RNA","RNA Gene","15.8","52"
"486","SFRP2","Secreted Frizzled Related Protein 2","Protein Coding","15.8","72"
"487","HULC","Hepatocellular Carcinoma Up-Regulated Long Non-Coding RNA","RNA Gene","15.8","58"
"488","SNHG20","Small Nucleolar RNA Host Gene 20","RNA Gene","15.8","58"
"489","HAR1B","Highly Accelerated Region 1B","RNA Gene","15.8","50"
"490","LINC00525","Long Intergenic Non-Protein Coding RNA 525","RNA Gene","15.8","50"
"491","CXCL8","C-X-C Motif Chemokine Ligand 8","Protein Coding","15.8","88"
"492","DUSP16","Dual Specificity Phosphatase 16","Protein Coding","15.8","82"
"493","MIRLET7F1","MicroRNA Let-7f-1","RNA Gene","15.8","62"
"494","COMETT","Cytosolic Oncogenic Antisense To MET Transcript","RNA Gene","15.8","57"
"495","ASB16-AS1","ASB16 Antisense RNA 1","RNA Gene","15.8","55"
"496","GATA2-AS1","GATA2 Antisense RNA 1","RNA Gene","15.8","54"
"497","LINC00114","Long Intergenic Non-Protein Coding RNA 114","RNA Gene","15.8","54"
"498","LNCARSR","LncRNA Regulator Of Akt Signaling Associated With HCC And RCC","RNA Gene","15.8","53"
"499","EIF3J-DT","EIF3J Divergent Transcript","RNA Gene","15.8","52"
"500","UNC5B-AS1","UNC5B Antisense RNA 1","RNA Gene","15.8","52"
"501","ST8SIA6-AS1","ST8SIA6 Antisense RNA 1","RNA Gene","15.8","51"
"502","CFTR","CF Transmembrane Conductance Regulator","Protein Coding","15.8","100"
"503","PPARD","Peroxisome Proliferator Activated Receptor Delta","Protein Coding","15.8","91"
"504","IL1B","Interleukin 1 Beta","Protein Coding","15.8","91"
"505","RECQL","RecQ Like Helicase","Protein Coding","15.7","91"
"506","GLIS2","GLIS Family Zinc Finger 2","Protein Coding","15.7","81"
"507","ZFR","Zinc Finger RNA Binding Protein","Protein Coding","15.7","79"
"508","KLK8","Kallikrein Related Peptidase 8","Protein Coding","15.7","77"
"509","TUBA4B","Tubulin Alpha 4b","Protein Coding","15.7","72"
"510","SOX2-OT","SOX2 Overlapping Transcript","RNA Gene","15.7","68"
"511","MIRLET7BHG","MIRLET7B And MIRLET7A3 Host Gene","RNA Gene","15.7","58"
"512","GAS6-AS1","GAS6 Antisense RNA 1","RNA Gene","15.7","56"
"513","LINC00115","Long Intergenic Non-Protein Coding RNA 115","RNA Gene","15.7","55"
"514","LINC00342","Long Intergenic Non-Protein Coding RNA 342","RNA Gene","15.7","54"
"515","LOXL1-AS1","LOXL1 Antisense RNA 1","RNA Gene","15.7","54"
"516","LUNAR1","Leukemia-Associated Non-Coding IGF1R Activator RNA 1","RNA Gene","15.7","54"
"517","FLVCR1-DT","FLVCR1 Divergent Transcript","RNA Gene","15.7","53"
"518","FOXCUT","FOXC1 Upstream Transcript","RNA Gene","15.7","53"
"519","LINC00908","Long Intergenic Non-Protein Coding RNA 908","RNA Gene","15.7","53"
"520","SH3PXD2A-AS1","SH3PXD2A Antisense RNA 1","RNA Gene","15.7","53"
"521","ICMT-DT","ICMT Divergent Transcript","RNA Gene","15.7","52"
"522","LINC00324","Long Intergenic Non-Protein Coding RNA 324","RNA Gene","15.7","52"
"523","DNAJC3-DT","DNAJC3 Divergent Transcript","RNA Gene","15.7","51"
"524","IGFL2-AS1","IGFL2 Antisense RNA 1","RNA Gene","15.7","51"
"525","LBX2-AS1","LBX2 Antisense RNA 1","RNA Gene","15.7","51"
"526","LINC01224","Long Intergenic Non-Protein Coding RNA 1224","RNA Gene","15.7","51"
"527","LINC01555","Long Intergenic Non-Protein Coding RNA 1555","RNA Gene","15.7","51"
"528","DUXAP9","Double Homeobox A Pseudogene 9","Pseudogene","15.7","49"
"529","R3HDML-AS1","R3HDML Antisense RNA 1","RNA Gene","15.7","52"
"530","FGF14-AS2","FGF14 Antisense RNA 2","RNA Gene","15.7","50"
"531","ENSG00000231881","Novel Transcript","RNA Gene","15.7","48"
"532","LINC01315","Long Intergenic Non-Protein Coding RNA 1315","RNA Gene","15.7","52"
"533","NTN1","Netrin 1","Protein Coding","15.6","85"
"534","KCNA3","Potassium Voltage-Gated Channel Subfamily A Member 3","Protein Coding","15.6","89"
"535","PTGS1","Prostaglandin-Endoperoxide Synthase 1","Protein Coding","15.6","90"
"536","FOXP3","Forkhead Box P3","Protein Coding","15.6","93"
"537","ZFPM2-AS1","ZFPM2 Antisense RNA 1","RNA Gene","15.6","65"
"538","ESRG","Embryonic Stem Cell Related","RNA Gene","15.6","57"
"539","MIR124-1HG","MIR124-1 Host Gene","RNA Gene","15.6","56"
"540","TTTY14","Testis Expressed Transcript, Y-Linked 14","RNA Gene","15.6","55"
"541","GRHL2-DT","GRHL2 Divergent Transcript","RNA Gene","15.6","53"
"542","LINC00518","Long Intergenic Non-Protein Coding RNA 518","RNA Gene","15.6","53"
"543","LINC02381","Long Intergenic Non-Protein Coding RNA 2381","RNA Gene","15.6","51"
"544","NPSR1-AS1","NPSR1 Antisense RNA 1","RNA Gene","15.5","56"
"545","LINC01088","Long Intergenic Non-Protein Coding RNA 1088","RNA Gene","15.5","53"
"546","CKMT2-AS1","CKMT2 Antisense RNA 1","RNA Gene","15.5","52"
"547","KRT20","Keratin 20","Protein Coding","15.5","67"
"548","ATP6V0D2","ATPase H+ Transporting V0 Subunit D2","Protein Coding","15.5","76"
"549","GNAS-AS1","GNAS Antisense RNA 1","RNA Gene","15.5","65"
"550","FGD5-AS1","FGD5 Antisense RNA 1","RNA Gene","15.5","53"
"551","NALT1","NOTCH1 Associated LncRNA In T Cell Acute Lymphoblastic Leukemia 1","RNA Gene","15.5","52"
"552","LINC00997","Long Intergenic Non-Protein Coding RNA 997","RNA Gene","15.5","51"
"553","LINC02985","Long Intergenic Non-Protein Coding RNA 2985","RNA Gene","15.5","51"
"554","USP2-AS1","USP2 Antisense RNA 1","RNA Gene","15.5","60"
"555","CACNA1G-AS1","CACNA1G Antisense RNA 1","RNA Gene","15.5","56"
"556","EPB41L4A-AS1","EPB41L4A Antisense RNA 1","RNA Gene","15.5","53"
"557","GACAT3","Gastric Cancer Associated Transcript 3","RNA Gene","15.5","53"
"558","LINC01564","Long Intergenic Non-Protein Coding RNA 1564","RNA Gene","15.5","53"
"559","SACK1C-AS1","SACK1C Antisense RNA 1","RNA Gene","15.5","53"
"560","SATB2-AS1","SATB2 Antisense RNA 1","RNA Gene","15.5","53"
"561","NR4A1AS","NR4A1 Antisense RNA","RNA Gene","15.5","52"
"562","ZNF561-AS1","ZNF561 Antisense RNA 1","RNA Gene","15.5","52"
"563","LINC00265","Long Intergenic Non-Protein Coding RNA 265","RNA Gene","15.5","51"
"564","RP9P","RP9 Pseudogene","Pseudogene","15.5","51"
"565","MSTO2P","Misato Family Member 2, Pseudogene","Pseudogene","15.5","49"
"566","SUMO1P3","SUMO1 Pseudogene 3","Pseudogene","15.5","48"
"567","GSTT1","Glutathione S-Transferase Theta 1","Protein Coding","15.4","63"
"568","ILF3-DT","ILF3 Divergent Transcript","RNA Gene","15.4","53"
"569","LINC01082","Long Intergenic Non-Protein Coding RNA 1082","RNA Gene","15.4","52"
"570","TRIM8","Tripartite Motif Containing 8","Protein Coding","15.4","85"
"571","ACTA2-AS1","ACTA2 Antisense RNA 1","RNA Gene","15.4","65"
"572","SNHG22","Small Nucleolar RNA Host Gene 22","RNA Gene","15.4","65"
"573","COL4A2-AS1","COL4A2 Antisense RNA 1","RNA Gene","15.4","62"
"574","PLA2G2C","Phospholipase A2 Group IIC","Protein Coding","15.4","60"
"575","SLC12A5-AS1","SLC12A5 And MMP9 Antisense RNA 1","RNA Gene","15.4","60"
"576","MSC-AS1","MSC Antisense RNA 1","RNA Gene","15.4","59"
"577","PSMB8-AS1","PSMB8 Antisense RNA 1","RNA Gene","15.4","59"
"578","FOXC2-AS1","FOXC2 Antisense RNA 1","RNA Gene","15.4","58"
"579","SNHG10","Small Nucleolar RNA Host Gene 10","RNA Gene","15.4","58"
"580","PSMA3-AS1","PSMA3 Antisense RNA 1","RNA Gene","15.4","57"
"581","TDRG1","Testis Development Related 1","RNA Gene","15.4","57"
"582","EGOT","Eosinophil Granule Ontogeny Transcript","RNA Gene","15.4","56"
"583","DCST1-AS1","DCST1 Antisense RNA 1","RNA Gene","15.4","55"
"584","LINC00261","Long Intergenic Non-Protein Coding RNA 261","RNA Gene","15.4","55"
"585","STEAP3-AS1","STEAP3 Antisense RNA 1","RNA Gene","15.4","55"
"586","FAM222A-AS1","FAM222A Antisense RNA 1","RNA Gene","15.4","54"
"587","NRIR","Negative Regulator Of Interferon Response","RNA Gene","15.4","54"
"588","ADPGK-AS1","ADPGK Antisense RNA 1","RNA Gene","15.4","53"
"589","C10orf95-AS1","C10orf95 Antisense RNA 1","RNA Gene","15.4","53"
"590","CCDC144NL-AS1","CCDC144NL Antisense RNA 1","RNA Gene","15.4","53"
"591","HOXA-AS3","HOXA Cluster Antisense RNA 3","RNA Gene","15.4","53"
"592","LINC00630","Long Intergenic Non-Protein Coding RNA 630","RNA Gene","15.4","53"
"593","LINC01569","Long Intergenic Non-Protein Coding RNA 1569","RNA Gene","15.4","53"
"594","MYOSLID","Myocardin-Induced Smooth Muscle LncRNA, Inducer Of Differentiation","RNA Gene","15.4","53"
"595","PROX1-AS1","PROX1 Antisense RNA 1","RNA Gene","15.4","53"
"596","RASSF8-AS1","RASSF8 Antisense RNA 1","RNA Gene","15.4","53"
"597","SCARNA2","Small Cajal Body-Specific RNA 2","RNA Gene","15.4","53"
"598","SOCS2-AS1","SOCS2 Antisense RNA 1","RNA Gene","15.4","53"
"599","SPRY4-AS1","SPRY4 Antisense RNA 1","RNA Gene","15.4","53"
"600","TDRKH-AS1","TDRKH Antisense RNA 1","RNA Gene","15.4","53"
"601","DDX3ILA1","DDX3 Interacting LncRNA 1","RNA Gene","15.4","52"
"602","EZR-AS1","EZR Antisense RNA 1","RNA Gene","15.4","52"
"603","LDLRAD4-AS1","LDLRAD4 Antisense RNA 1","RNA Gene","15.4","52"
"604","LINC00654","Long Intergenic Non-Protein Coding RNA 654","RNA Gene","15.4","52"
"605","LINC01436","Long Intergenic Non-Protein Coding RNA 1436","RNA Gene","15.4","52"
"606","LINC01535","Long Intergenic Non-Protein Coding RNA 1535","RNA Gene","15.4","52"
"607","MIR600HG","MIR600 Host Gene","RNA Gene","15.4","52"
"608","PITPNA-AS1","PITPNA Antisense RNA 1","RNA Gene","15.4","52"
"609","DICER1-AS1","DICER1 Antisense RNA 1","RNA Gene","15.4","51"
"610","FAM230B","Family With Sequence Similarity 230 Member B","RNA Gene","15.4","51"
"611","GAU1","GALNT8 Antisense Upstream 1","RNA Gene","15.4","51"
"612","GIHCG","GIHCG Inhibitor Of MiR-200b/200a/429 Expression","RNA Gene","15.4","51"
"613","LINC00485","Long Intergenic Non-Protein Coding RNA 485","RNA Gene","15.4","51"
"614","LINC00632","Long Intergenic Non-Protein Coding RNA 632","RNA Gene","15.4","51"
"615","LINC01278","Long Intergenic Non-Protein Coding RNA 1278","RNA Gene","15.4","51"
"616","LINC02006","Long Intergenic Non-Protein Coding RNA 2006","RNA Gene","15.4","51"
"617","LINC03052","Long Intergenic Non-Protein Coding RNA 3052","RNA Gene","15.4","51"
"618","MIR503HG","MIR503 Host Gene","RNA Gene","15.4","51"
"619","STARD13-AS","STARD13 Antisense RNA","RNA Gene","15.4","51"
"620","EOLA1-DT","EOLA1 Divergent Transcript","RNA Gene","15.4","50"
"621","ITGB8-AS1","ITGB8 Antisense RNA 1","RNA Gene","15.4","50"
"622","LINC01410","Long Intergenic Non-Protein Coding RNA 1410","RNA Gene","15.4","50"
"623","LINC03046","Long Intergenic Non-Protein Coding RNA 3046","RNA Gene","15.4","50"
"624","TNFRSF10A-AS1","TNFRSF10A Antisense RNA 1","RNA Gene","15.4","50"
"625","TPTE2P1","TPTE2 Pseudogene 1","Pseudogene","15.4","50"
"626","ZDHHC8BP","ZDHHC8B, Pseudogene","Pseudogene","15.4","50"
"627","LINC01413","Long Intergenic Non-Protein Coding RNA 1413","RNA Gene","15.4","49"
"628","LINC02560","Long Intergenic Non-Protein Coding RNA 2560","RNA Gene","15.4","49"
"629","RPL13AP20","Ribosomal Protein L13a Pseudogene 20","Pseudogene","15.4","49"
"630","RPLP0P2","Ribosomal Protein Lateral Stalk Subunit P0 Pseudogene 2","Pseudogene","15.4","49"
"631","SYT2-AS1","SYT2 Antisense RNA 1","RNA Gene","15.4","48"
"632","WASH5P","WASP Family Homolog 5, Pseudogene","Pseudogene","15.4","39"
"633","lnc-S100B-2","","RNA Gene","15.4","38"
"634","ANKRD40CL","ANKRD40 C-Terminal Like","Protein Coding","15.4","37"
"635","GALNT17","Polypeptide N-Acetylgalactosaminyltransferase 17","Protein Coding","15.4","62"
"636","DNMT1","DNA Methyltransferase 1","Protein Coding","15.3","100"
"637","SNAI1","Snail Family Transcriptional Repressor 1","Protein Coding","15.3","79"
"638","RAD51-AS1","RAD51 Antisense RNA 1","RNA Gene","15.2","54"
"639","EBLN3P","Endogenous Bornavirus Like Nucleoprotein 3, Pseudogene","Pseudogene","15.2","53"
"640","MINCR","MYC-Induced Long Non-Coding RNA","RNA Gene","15.2","53"
"641","ROS1","ROS Proto-Oncogene 1, Receptor Tyrosine Kinase","Protein Coding","15.2","97"
"642","ESR1","Estrogen Receptor 1","Protein Coding","15.1","100"
"643","EZH2","Enhancer Of Zeste 2 Polycomb Repressive Complex 2 Subunit","Protein Coding","15.1","100"
"644","ALK","ALK Receptor Tyrosine Kinase","Protein Coding","15.0","100"
"645","LINC01194","Long Intergenic Non-Protein Coding RNA 1194","RNA Gene","14.9","53"
"646","ZEB1","Zinc Finger E-Box Binding Homeobox 1","Protein Coding","14.9","99"
"647","MUC2","Mucin 2, Oligomeric Mucus/Gel-Forming","Protein Coding","14.8","81"
"648","MEF2C-AS1","MEF2C Antisense RNA 1","RNA Gene","14.8","54"
"649","LINC00205","Long Intergenic Non-Protein Coding RNA 205","RNA Gene","14.8","53"
"650","FOXD3-AS1","FOXD3 Antisense RNA 1","RNA Gene","14.8","52"
"651","FRGCA","FOXM1-Regulated, Gastric Cancer Associated","RNA Gene","14.8","50"
"652","XIRP2-AS1","XIRP2 Antisense RNA 1","RNA Gene","14.8","50"
"653","MUC1","Mucin 1, Cell Surface Associated","Protein Coding","14.7","99"
"654","SIRT1","Sirtuin 1","Protein Coding","14.7","97"
"655","UBA6-DT","UBA6 Divergent Transcript","RNA Gene","14.6","57"
"656","IFNG-AS1","IFNG Regulatory Antisense RNA 1","RNA Gene","14.6","54"
"657","LINC00355","Long Intergenic Non-Protein Coding RNA 355","RNA Gene","14.6","53"
"658","LINC01615","Long Intergenic Non-Protein Coding RNA 1615","RNA Gene","14.6","53"
"659","MHENCR","Melanoma Highly Expressed Competing Endogenous LncRNA For MiR-425 And MiR-489","RNA Gene","14.6","53"
"660","ROR1-AS1","ROR1 Antisense RNA 1","RNA Gene","14.6","53"
"661","LINC00896","Long Intergenic Non-Protein Coding RNA 896","RNA Gene","14.6","52"
"662","SLC9A3-OT1","SLC9A3 3' UTR Overlapping Transcript 1","RNA Gene","14.6","52"
"663","LINC00092","Long Intergenic Non-Protein Coding RNA 92","RNA Gene","14.6","51"
"664","LINC00662","Long Intergenic Non-Protein Coding RNA 662","RNA Gene","14.6","51"
"665","USP30-AS1","USP30 Antisense RNA 1","RNA Gene","14.6","51"
"666","ALMS1-IT1","ALMS1 Intronic Transcript 1","RNA Gene","14.6","50"
"667","LINC01606","Long Intergenic Non-Protein Coding RNA 1606","RNA Gene","14.6","50"
"668","NBPF4","NBPF Member 4","Protein Coding","14.6","43"
"669","VDR","Vitamin D Receptor","Protein Coding","14.6","100"
"670","TLR4","Toll Like Receptor 4","Protein Coding","14.5","96"
"671","TCF4","Transcription Factor 4","Protein Coding","14.5","100"
"672","CDX1","Caudal Type Homeobox 1","Protein Coding","14.3","72"
"673","MIR193A","MicroRNA 193a","RNA Gene","14.3","62"
"674","GSTM2","Glutathione S-Transferase Mu 2","Protein Coding","14.3","81"
"675","ERBB3","Erb-B2 Receptor Tyrosine Kinase 3","Protein Coding","14.3","100"
"676","PARP1","Poly(ADP-Ribose) Polymerase 1","Protein Coding","14.3","96"
"677","YAP1","Yes1 Associated Transcriptional Regulator","Protein Coding","14.2","93"
"678","ESR2","Estrogen Receptor 2","Protein Coding","14.0","100"
"679","MAPK3","Mitogen-Activated Protein Kinase 3","Protein Coding","13.9","94"
"680","SDC2","Syndecan 2","Protein Coding","13.9","81"
"681","CYP1A1","Cytochrome P450 Family 1 Subfamily A Member 1","Protein Coding","13.9","92"
